line,bins,fitting_window,bin_width,mu,sigma,c,d,A,mu_err,sigma_err,c_err,d_err,A_err,exact_mu,deviation_in_centroid,A_over_A_err,snr
93,50,3,1.2244897959183731,92.86399365007345,1.9942167235157684,-1438.2999999999997,386488.2306108561,236643.9856232433,inf,inf,inf,inf,inf,93.311,-0.0,0.0,1729282.664363366
93,50,4,1.2244897959183731,92.85453147491513,1.827729681025051,-1247.4867941229727,373561.98325695656,196189.4575102059,0.16945450759271538,0.28134598989349785,710.6434115039528,67447.3811506604,49539.58408752178,93.311,-2.6937526275901527,3.9602564519636902,1574548.6082032628
93,50,5,1.2244897959183731,92.90864327549302,1.0000000000000002,-1041.179224599185,370014.9798138599,23244.309856992993,2.478311596069558,2.4882175019381974,2029.480694240105,189065.4093901028,64329.01536226011,93.311,-0.16235114468459041,0.3613347682394301,541971.0853352809
93,50,8,1.2244897959183731,92.84330845213692,1.0000003823925865,-452.7125194423022,310949.9671657207,8250.90424603893,6.86713481072859,6.826097551526298,1148.8293828705123,107100.48144568304,57789.60626437858,93.311,-0.06810577639052669,0.14277488253324153,322899.6394551098
93,50,10,1.2244897959183731,92.82315722199485,1.0000000000000002,-280.5616892354658,291147.11098538566,13476.771683837309,3.701261273096218,3.650248524932021,676.1079833237078,63083.3088564688,48609.03424244461,93.311,-0.13180446934432816,0.2772482912665978,412677.07503735763
93,100,3,0.6060606060606091,92.87279363245773,3.51892609448182,-657.1485812909204,149538.63660672161,529194.9811571358,0.5223515779265353,2.7042313963338516,2154.041177597648,243327.84732098732,1126892.0574718458,93.311,-0.8389107759217085,0.469605742314283,1819309.5473480155
93,100,4,0.6060606060606091,92.85035447656105,1.9304037685114428,-657.15,187350.09412580187,108685.3112821601,0.08084590279654241,0.14804610858081768,192.4546785201403,18375.70063456358,15188.651237740029,93.311,-5.697821503684865,7.155692074363,824487.3678482402
93,100,5,0.6060606060606091,92.71291078755797,1.9114057022907722,-267.3027001865922,151320.15857586378,107131.09574610186,0.06557613301977663,0.09374257082220369,107.1192307766541,10181.573457117882,7706.30804321054,93.311,-9.120531890187245,13.90174064485875,818570.9941266952
93,100,8,0.6060606060606091,92.64806062998686,1.9048842925676315,-125.25749288717586,138300.31882816323,105996.2175002102,0.056327575673897776,0.06518670725542414,44.8652027147586,4209.939363662432,4108.09704932945,93.311,-11.769357407660545,25.801780295699583,814223.7384266346
93,100,10,0.6060606060606091,92.62443339862395,1.9554503675951103,-84.78718903710501,134153.12020088147,110135.75521446303,0.06201271638125595,0.06947954505715342,36.43043405736811,3415.208732569813,4197.670173377089,93.311,-11.071384087660768,26.237353261572995,829970.6723998181
93,200,3,0.30150753768844396,92.80962417281825,1.9744195745548145,-272.99999999692534,87912.74093688393,56662.80948274013,0.4184198521183053,1.0303715448597361,733.5073413938737,72176.02200340065,67536.66102892673,93.311,-1.1982601318830357,0.8389933499743317,419892.8529719229
93,200,4,0.30150753768844396,92.82715051987043,1.822876897375094,-272.9999420088386,88748.82454928503,48964.43325908825,0.14059026060173244,0.23365790366951966,157.9635550108965,15027.09981636409,10631.210870966841,93.311,-3.441557601918378,4.605724959591103,390328.0494615082
93,200,5,0.30150753768844396,92.75826346664506,1.9283249678098053,-178.31084437087594,79377.26895905756,54223.24624866491,0.10813958366830684,0.15925490070071674,92.3477567799869,8771.45424504314,6771.369921833724,93.311,-5.1113247767842065,8.00772175713315,410754.35538117005
93,200,8,0.30150753768844396,92.65810242203865,1.9113885113383255,-66.77455480956466,69187.17925964223,52993.21934081897,0.07958194934913719,0.09269203818270919,32.6634821818015,3065.6147763390154,2939.3663178137576,93.311,-8.204091295841488,18.028790429984337,406068.74607319763
93,200,10,0.30150753768844396,92.62895156619236,1.9507309586063473,-40.13739687516278,66572.52332310626,54546.367300429294,0.07885860392648203,0.0881911012391805,22.67308971927974,2125.25689976694,2636.403734507709,93.311,-8.64900467225502,20.689686707113786,411976.3955834364
93,400,3,0.15037593984962427,92.85318474165459,2.38073726815639,-156.99999994229245,43696.745257713694,46530.596942534576,0.4363236204014216,1.2907475030237459,403.52628046433887,40195.10557250352,61681.68208034788,93.311,-1.0492561872406214,0.7543665375714435,268719.18599865097
93,400,4,0.15037593984962427,92.85194979187368,1.8242258582448667,-156.99999999999997,46189.85309531499,24530.606949536257,0.14070465781225452,0.23840637682082336,81.14106440856024,7706.472990222394,5515.665989195161,93.311,-3.2625089692400193,4.447442429906045,195111.6370575185
93,400,5,0.15037593984962427,92.75131956716542,1.9020219266437628,-85.43501750020944,39322.644951140486,26514.24477934657,0.10382411192483965,0.1498569883196165,43.429974984447185,4120.768496705557,3095.594989421108,93.311,-5.39065947647832,8.565153022264345,202847.04952553843
93,400,8,0.15037593984962427,92.67174219831219,1.8969959597610226,-40.1018561406453,35154.06808705274,26254.479391796955,0.08778757750514105,0.10187771833162174,17.8563312549662,1675.1001697481743,1603.825050826472,93.311,-7.281870850695049,16.3699147723548,201850.9335946903
93,400,10,0.15037593984962427,92.63100636447633,1.9509255921984605,-21.113997682188213,33293.568118480376,27320.23442826345,0.0874188517911302,0.09791091502263813,12.77693240233225,1197.6683736680131,1469.796592334454,93.311,-7.778569743153122,18.58776552534468,205907.08052876758
175,50,3,1.2244897959183731,175.3923945968192,1.250649402672791,-1562.686768456975,398342.47399453126,82964.78345659106,inf,inf,inf,inf,inf,174.956,0.0,0.0,726753.2193441974
175,50,4,1.2244897959183731,175.4015863931306,1.3580201947079622,-1664.9545206225205,414237.10175577743,95922.97630493763,0.03771447614491139,0.04966091942716822,126.0214617817082,21860.150127805515,4684.624314458032,174.956,11.814731070863138,20.476129966045107,781450.3836903538
175,50,5,1.2244897959183731,175.37291231190576,1.392652968855172,-1514.4696969143495,387364.5198966203,99490.30166114311,0.04607053759085699,0.05465393790455087,101.21085314196702,17643.08205341385,4581.11232168502,174.956,9.049434491263998,21.71749886816761,795848.6102344025
175,50,8,1.2244897959183731,175.35241695586,1.42510986216562,-1417.7612931520055,369980.26388032356,102778.17954670911,0.046513920984432335,0.05150702200961714,57.8895361523833,10118.337498778557,3899.0304101895454,174.956,8.522544379621214,26.359932786908608,808892.0199369262
175,50,10,1.2244897959183731,175.3238089116844,1.3804636982756688,-1253.8878404710135,341884.1412212045,98012.96894812028,0.07963780365584397,0.08551950682511644,66.08962242703697,11564.268045006253,6014.7890346451795,174.956,4.618521541275957,16.295329459365185,789917.7255351491
